in s,C1 in V
-1.1958918E+01,6.54785E-01
-1.1958744E+01,6.64551E-01
-1.1958570E+01,6.64551E-01
-1.1958396E+01,6.40137E-01
-1.1958222E+01,6.25488E-01
-1.1958048E+01,6.15723E-01
-1.1957874E+01,6.05957E-01
-1.1957700E+01,6.10840E-01
-1.1957526E+01,6.15723E-01
-1.1957352E+01,6.05957E-01
-1.1957178E+01,6.20605E-01
-1.1957004E+01,6.20605E-01
-1.1956830E+01,6.10840E-01
-1.1956656E+01,6.20605E-01
-1.1956482E+01,6.15723E-01
-1.1956308E+01,6.20605E-01
-1.1956134E+01,6.10840E-01
-1.1955960E+01,6.15723E-01
-1.1955786E+01,7.18262E-01
-1.1955612E+01,8.84277E-01
-1.1955438E+01,9.42871E-01
-1.1955264E+01,9.57520E-01
-1.1955090E+01,9.47754E-01
-1.1954916E+01,8.89160E-01
-1.1954742E+01,7.28027E-01
-1.1954568E+01,6.84082E-01
-1.1954394E+01,6.69434E-01
-1.1954220E+01,6.93848E-01
-1.1954046E+01,6.64551E-01
-1.1953872E+01,6.74316E-01
-1.1953698E+01,6.59668E-01
-1.1953524E+01,6.35254E-01
-1.1953350E+01,6.49902E-01
-1.1953176E+01,6.25488E-01
-1.1953002E+01,6.40137E-01
-1.1952828E+01,6.49902E-01
-1.1952654E+01,6.25488E-01
-1.1952480E+01,6.20605E-01
-1.1952306E+01,6.49902E-01
-1.1952132E+01,6.79199E-01
-1.1951958E+01,8.84277E-01
-1.1951784E+01,9.42871E-01
-1.1951610E+01,9.62402E-01
-1.1951436E+01,9.62402E-01
-1.1951262E+01,9.62402E-01
-1.1951088E+01,7.47559E-01
-1.1950914E+01,6.88965E-01
-1.1950740E+01,6.74316E-01
-1.1950566E+01,6.69434E-01
-1.1950392E+01,6.69434E-01
-1.1950218E+01,6.59668E-01
-1.1950044E+01,6.40137E-01
-1.1949870E+01,6.30371E-01
-1.1949696E+01,6.20605E-01
-1.1949522E+01,6.20605E-01
-1.1949348E+01,6.20605E-01
-1.1949174E+01,6.25488E-01
-1.1949000E+01,6.05957E-01
-1.1948826E+01,6.25488E-01
-1.1948652E+01,6.20605E-01
-1.1948478E+01,6.20605E-01
-1.1948304E+01,6.05957E-01
-1.1948130E+01,6.15723E-01
-1.1947956E+01,6.15723E-01
-1.1947782E+01,6.10840E-01
-1.1947608E+01,6.20605E-01
-1.1947434E+01,7.28027E-01
-1.1947260E+01,8.98926E-01
-1.1947086E+01,9.47754E-01
-1.1946912E+01,9.57520E-01
-1.1946738E+01,9.52637E-01
-1.1946564E+01,8.64746E-01
-1.1946390E+01,7.08496E-01
-1.1946216E+01,6.88965E-01
-1.1946042E+01,6.69434E-01
-1.1945868E+01,6.74316E-01
-1.1945694E+01,6.59668E-01
-1.1945520E+01,6.59668E-01
-1.1945346E+01,6.49902E-01
-1.1945172E+01,6.30371E-01
-1.1944998E+01,6.15723E-01
-1.1944824E+01,6.49902E-01
-1.1944650E+01,6.25488E-01
-1.1944476E+01,6.45020E-01
-1.1944302E+01,6.45020E-01
-1.1944128E+01,6.45020E-01
-1.1943954E+01,6.20605E-01
-1.1943780E+01,7.28027E-01
-1.1943606E+01,8.98926E-01
-1.1943432E+01,9.42871E-01
-1.1943258E+01,9.72168E-01
-1.1943084E+01,9.96582E-01
-1.1942910E+01,9.37988E-01
-1.1942736E+01,7.42676E-01
-1.1942562E+01,6.74316E-01
-1.1942388E+01,6.69434E-01
-1.1942214E+01,6.59668E-01
-1.1942040E+01,6.64551E-01
-1.1941866E+01,6.74316E-01
-1.1941692E+01,6.59668E-01
-1.1941518E+01,6.20605E-01
-1.1941344E+01,6.35254E-01
-1.1941170E+01,6.25488E-01
-1.1940996E+01,6.35254E-01
-1.1940822E+01,6.25488E-01
-1.1940648E+01,6.20605E-01
-1.1940474E+01,6.20605E-01
-1.1940300E+01,6.20605E-01
-1.1940126E+01,6.20605E-01
-1.1939952E+01,6.25488E-01
-1.1939778E+01,6.15723E-01
-1.1939604E+01,6.35254E-01
-1.1939430E+01,6.20605E-01
-1.1939256E+01,6.30371E-01
-1.1939082E+01,7.57324E-01
-1.1938908E+01,8.98926E-01
-1.1938734E+01,9.33105E-01
-1.1938560E+01,9.77051E-01
-1.1938386E+01,9.77051E-01
-1.1938212E+01,8.25684E-01
-1.1938038E+01,7.03613E-01
-1.1937864E+01,6.49902E-01
-1.1937690E+01,6.45020E-01
-1.1937516E+01,6.64551E-01
-1.1937342E+01,6.64551E-01
-1.1937168E+01,6.79199E-01
-1.1936994E+01,6.40137E-01
-1.1936820E+01,6.25488E-01
-1.1936646E+01,6.45020E-01
-1.1936472E+01,6.20605E-01
-1.1936298E+01,6.25488E-01
-1.1936124E+01,6.25488E-01
-1.1935950E+01,6.30371E-01
-1.1935776E+01,6.20605E-01
-1.1935602E+01,6.20605E-01
-1.1935428E+01,7.42676E-01
-1.1935254E+01,8.79395E-01
-1.1935080E+01,9.42871E-01
-1.1934906E+01,9.62402E-01
-1.1934732E+01,9.77051E-01
-1.1934558E+01,8.89160E-01
-1.1934384E+01,7.32910E-01
-1.1934210E+01,6.79199E-01
-1.1934036E+01,6.98730E-01
-1.1933862E+01,6.79199E-01
-1.1933688E+01,6.69434E-01
-1.1933514E+01,6.74316E-01
-1.1933340E+01,6.45020E-01
-1.1933166E+01,6.40137E-01
-1.1932992E+01,6.15723E-01
-1.1932818E+01,6.45020E-01
-1.1932644E+01,6.35254E-01
-1.1932470E+01,6.40137E-01
-1.1932296E+01,6.35254E-01
-1.1932122E+01,6.20605E-01
-1.1931948E+01,6.20605E-01
-1.1931774E+01,6.35254E-01
-1.1931600E+01,6.30371E-01
-1.1931426E+01,6.25488E-01
-1.1931252E+01,6.10840E-01
-1.1931078E+01,6.35254E-01
-1.1930904E+01,6.30371E-01
-1.1930730E+01,7.81738E-01
-1.1930556E+01,9.03809E-01
-1.1930382E+01,9.42871E-01
-1.1930208E+01,9.37988E-01
-1.1930034E+01,9.42871E-01
-1.1929860E+01,8.11035E-01
-1.1929686E+01,7.08496E-01
-1.1929512E+01,6.74316E-01
-1.1929338E+01,6.59668E-01
-1.1929164E+01,6.69434E-01
-1.1928990E+01,6.59668E-01
-1.1928816E+01,6.64551E-01
-1.1928642E+01,6.30371E-01
-1.1928468E+01,6.35254E-01
-1.1928294E+01,6.15723E-01
-1.1928120E+01,6.25488E-01
-1.1927946E+01,6.25488E-01
-1.1927772E+01,6.25488E-01
-1.1927598E+01,6.30371E-01
-1.1927424E+01,6.20605E-01
-1.1927250E+01,6.45020E-01
-1.1927076E+01,7.71973E-01
-1.1926902E+01,9.13574E-01
-1.1926728E+01,9.33105E-01
-1.1926554E+01,9.57520E-01
-1.1926380E+01,9.67285E-01
-1.1926206E+01,8.50098E-01
-1.1926032E+01,7.18262E-01
-1.1925858E+01,6.88965E-01
-1.1925684E+01,6.59668E-01
-1.1925510E+01,6.69434E-01
-1.1925336E+01,6.84082E-01
-1.1925162E+01,6.69434E-01
-1.1924988E+01,6.74316E-01
-1.1924814E+01,6.40137E-01
-1.1924640E+01,6.45020E-01
-1.1924466E+01,6.35254E-01
-1.1924292E+01,6.54785E-01
-1.1924118E+01,6.40137E-01
-1.1923944E+01,6.30371E-01
-1.1923770E+01,6.40137E-01
-1.1923596E+01,6.20605E-01
-1.1923422E+01,6.20605E-01
-1.1923248E+01,6.40137E-01
-1.1923074E+01,6.25488E-01
-1.1922900E+01,6.30371E-01
-1.1922726E+01,6.40137E-01
-1.1922552E+01,6.35254E-01
-1.1922378E+01,8.11035E-01
-1.1922204E+01,9.18457E-01
-1.1922030E+01,9.77051E-01
-1.1921856E+01,9.77051E-01
-1.1921682E+01,9.72168E-01
-1.1921508E+01,7.91504E-01
-1.1921334E+01,7.08496E-01
-1.1921160E+01,6.93848E-01
-1.1920986E+01,6.79199E-01
-1.1920812E+01,6.93848E-01
-1.1920638E+01,6.79199E-01
-1.1920464E+01,6.74316E-01
-1.1920290E+01,6.25488E-01
-1.1920116E+01,6.40137E-01
-1.1919942E+01,6.35254E-01
-1.1919768E+01,6.25488E-01
-1.1919594E+01,6.20605E-01
-1.1919420E+01,6.40137E-01
-1.1919246E+01,6.25488E-01
-1.1919072E+01,6.20605E-01
-1.1918898E+01,6.30371E-01
-1.1918724E+01,7.81738E-01
-1.1918550E+01,9.23340E-01
-1.1918376E+01,9.47754E-01
-1.1918202E+01,9.57520E-01
-1.1918028E+01,9.57520E-01
-1.1917854E+01,8.35449E-01
-1.1917680E+01,6.93848E-01
-1.1917506E+01,6.74316E-01
-1.1917332E+01,6.59668E-01
-1.1917158E+01,6.64551E-01
-1.1916984E+01,6.59668E-01
-1.1916810E+01,6.69434E-01
-1.1916636E+01,6.40137E-01
-1.1916462E+01,6.30371E-01
-1.1916288E+01,6.20605E-01
-1.1916114E+01,6.30371E-01
-1.1915940E+01,6.10840E-01
-1.1915766E+01,6.25488E-01
-1.1915592E+01,6.35254E-01
-1.1915418E+01,6.15723E-01
-1.1915244E+01,6.35254E-01
-1.1915070E+01,6.30371E-01
-1.1914896E+01,6.20605E-01
-1.1914722E+01,6.30371E-01
-1.1914548E+01,6.35254E-01
-1.1914374E+01,6.25488E-01
-1.1914200E+01,6.40137E-01
-1.1914026E+01,8.40332E-01
-1.1913852E+01,9.18457E-01
-1.1913678E+01,9.37988E-01
-1.1913504E+01,9.72168E-01
-1.1913330E+01,9.86816E-01
-1.1913156E+01,7.91504E-01
-1.1912982E+01,7.03613E-01
-1.1912808E+01,6.84082E-01
-1.1912634E+01,6.88965E-01
-1.1912460E+01,6.79199E-01
-1.1912286E+01,6.69434E-01
-1.1912112E+01,6.69434E-01
-1.1911938E+01,6.45020E-01
-1.1911764E+01,6.49902E-01
-1.1911590E+01,6.54785E-01
-1.1911416E+01,6.30371E-01
-1.1911242E+01,6.30371E-01
-1.1911068E+01,6.35254E-01
-1.1910894E+01,6.40137E-01
-1.1910720E+01,6.49902E-01
-1.1910546E+01,6.40137E-01
-1.1910372E+01,8.01270E-01
-1.1910198E+01,9.23340E-01
-1.1910024E+01,9.62402E-01
-1.1909850E+01,9.67285E-01
-1.1909676E+01,9.57520E-01
-1.1909502E+01,8.11035E-01
-1.1909328E+01,7.03613E-01
-1.1909154E+01,6.64551E-01
-1.1908980E+01,6.59668E-01
-1.1908806E+01,6.64551E-01
-1.1908632E+01,6.64551E-01
-1.1908458E+01,6.69434E-01
-1.1908284E+01,6.45020E-01
-1.1908110E+01,6.20605E-01
-1.1907936E+01,6.15723E-01
-1.1907762E+01,6.15723E-01
-1.1907588E+01,6.05957E-01
-1.1907414E+01,6.05957E-01
